Districtid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43,week44,week45,week46,week47,week48,week49,week50,week51,week52,week53,week54,week55,week56,week57,week58,week59,week60,week61,week62,week63,week64,week65,week66,week67,week68,week69,week70,week71,week72,week73,week74
UT_Tehri Garhwal,0,0,0,0,0,0,0,0,0,6,68,44,164,88,42,9,8,21,46,23,61,129,118,244,330,306,269,175,287,262,131,98,178,117,117,104,88,131,170,141,102,58,44,38,7,3,0,6,-11,10,7,1,8,64,78,242,381,1000,966,2372,2629,2039,1069,336,162,100,47,39,19,7,6,8,4,2
UT_Udham Singh Nagar,0,0,0,0,0,0,7,6,7,14,28,26,25,24,92,77,110,300,258,308,422,519,483,814,864,1263,1693,812,276,513,215,208,116,210,179,186,190,196,183,235,145,146,115,95,54,36,51,25,-13,31,22,30,71,62,134,396,1099,2785,3456,6674,5140,2585,2623,541,180,114,63,34,39,24,15,155,18,12
UT_Uttarkashi,0,0,0,0,0,0,0,1,0,9,4,9,7,26,8,16,12,13,57,46,136,37,191,210,268,205,307,287,216,265,170,127,93,59,83,66,66,92,126,172,174,128,68,14,19,3,2,0,-3,0,1,0,7,14,38,28,71,532,852,1897,2805,1171,645,175,81,122,54,70,37,29,14,9,18,13
WB_Alipurduar,0,0,0,0,0,0,0,0,0,0,4,8,32,105,30,8,7,23,27,137,239,317,347,604,776,536,620,555,485,479,464,385,221,218,220,199,141,149,114,96,63,36,14,18,9,8,7,1,2,1,6,0,9,11,7,45,82,147,493,400,682,927,1245,1017,735,415,150,200,166,142,135,129,126,94
WB_Bankura,0,0,0,0,0,0,0,0,0,1,27,76,75,15,43,24,43,65,119,259,216,380,523,528,687,687,735,675,531,472,565,519,633,562,468,408,424,418,485,307,279,167,126,91,120,83,38,29,15,40,49,57,26,36,55,123,449,1043,2014,2708,2920,4091,3312,1705,1195,706,522,441,265,374,260,194,148,164
WB_Birbhum,0,0,0,0,0,0,0,6,1,11,85,91,49,37,16,15,19,23,84,152,341,270,225,586,322,354,462,467,487,487,531,523,541,528,422,395,483,394,420,384,262,186,128,86,68,21,27,19,10,24,23,18,40,112,462,1043,2334,3906,4998,5124,5281,2588,2149,826,630,186,170,133,69,70,58,56,60,66
WB_Dakshin Dinajpur,0,0,0,0,0,0,0,0,0,4,2,37,22,22,93,43,81,342,316,239,542,386,1087,488,329,391,390,375,301,381,379,423,266,245,276,178,137,93,76,62,50,31,27,15,14,11,8,13,1,3,1,1,2,15,26,91,213,405,979,1434,1374,1130,1091,783,416,245,143,126,95,53,62,28,51,60
WB_Darjeeling,0,0,0,0,0,0,4,3,0,3,11,62,105,80,153,156,259,401,445,553,674,598,738,605,625,638,796,636,639,650,742,1002,907,964,979,935,814,817,700,460,439,298,125,118,91,75,50,30,31,23,40,28,33,57,107,295,824,1708,2727,3848,4520,4745,4620,3026,2351,1558,1132,1076,650,561,539,493,421,483
WB_Howrah,0,0,0,0,0,0,79,291,183,198,231,400,300,358,441,529,815,1090,1547,1550,1538,1459,1184,978,916,958,1185,1331,1328,1431,1687,1753,1589,1661,1315,1318,1202,1120,1025,778,494,460,290,251,164,95,59,55,87,102,100,152,181,269,680,1494,2440,4434,6510,7015,8496,8426,7394,4709,2270,1476,840,596,376,279,277,250,258,238
WB_Jalpaiguri,0,0,0,0,0,0,5,-1,0,0,9,16,161,95,44,59,120,221,343,284,389,408,568,672,722,525,593,533,516,571,658,867,677,720,881,911,663,754,520,368,350,189,77,62,51,26,22,20,14,20,28,17,14,33,33,180,532,984,1418,1930,2825,3075,4280,3242,2319,1410,785,624,321,391,331,301,348,257
