district,district_id,state_id
kendrapara,OR_Kendrapara,OR
kishtwar,JK_Kishtwar,JK
punch,JK_Punch,JK
malda,WB_Malda,WB
unokoti,TR_Unokoti,TR
kodagu,KA_Kodagu,KA
ribhoi,ML_Ribhoi,ML
barmer,RJ_Barmer,RJ
chatra,JH_Chatra,JH
datia,MP_Datia,MP
hapur,UP_Hapur,UP
east sikkim,SK_East Sikkim,SK
goalpara,AS_Goalpara,AS
dahod,GJ_Dahod,GJ
mathura,UP_Mathura,UP
kalaburagi,KA_Kalaburagi,KA
ganderbal,JK_Ganderbal,JK
hyderabad,TG_Hyderabad,TG
tikamgarh,MP_Tikamgarh,MP
kohima,NL_Kohima,NL
pulwama,JK_Pulwama,JK
south 24 parganas,WB_South 24 Parganas,WB
dausa,RJ_Dausa,RJ
buxar,BR_Buxar,BR
patiala,PB_Patiala,PB
agar malwa,MP_Agar Malwa,MP
sikar,RJ_Sikar,RJ
pilibhit,UP_Pilibhit,UP
katihar,BR_Katihar,BR
ramban,JK_Ramban,JK
south salmara mankachar,AS_South Salmara Mankachar,AS
udupi,KA_Udupi,KA
warangal urban,TG_Warangal Urban,TG
ahmednagar,MH_Ahmednagar,MH
damoh,MP_Damoh,MP
ashoknagar,MP_Ashoknagar,MP
gomati,TR_Gomati,TR
north 24 parganas,WB_North 24 Parganas,WB
baghpat,UP_Baghpat,UP
lahaul and spiti,HP_Lahaul and Spiti,HP
balod,CT_Balod,CT
thoubal,MN_Thoubal,MN
sangli,MH_Sangli,MH
darbhanga,BR_Darbhanga,BR
latur,MH_Latur,MH
morena,MP_Morena,MP
darjeeling,WB_Darjeeling,WB
durg,CT_Durg,CT
rohtak,HR_Rohtak,HR
narayanpet,TG_Narayanpet,TG
lower subansiri,AR_Lower Subansiri,AR
anand,GJ_Anand,GJ
chennai,TN_Chennai,TN
alwar,RJ_Alwar,RJ
jalaun,UP_Jalaun,UP
mandya,KA_Mandya,KA
mokokchung,NL_Mokokchung,NL
muzaffarpur,BR_Muzaffarpur,BR
jammu,JK_Jammu,JK
giridih,JH_Giridih,JH
gurdaspur,PB_Gurdaspur,PB
dadra and nagar haveli,DN_Dadra and Nagar Haveli,DN
amethi,UP_Amethi,UP
cuttack,OR_Cuttack,OR
saiha,MZ_Saiha,MZ
kamle,AR_Kamle,AR
karur,TN_Karur,TN
upper subansiri,AR_Upper Subansiri,AR
birbhum,WB_Birbhum,WB
rudraprayag,UT_Rudraprayag,UT
mahabubabad,TG_Mahabubabad,TG
botad,GJ_Botad,GJ
sidhi,MP_Sidhi,MP
wayanad,KL_Wayanad,KL
longleng,NL_Longleng,NL
ranga reddy,TG_Ranga Reddy,TG
dhalai,TR_Dhalai,TR
jharsuguda,OR_Jharsuguda,OR
prakasam,AP_Prakasam,AP
amravati,MH_Amravati,MH
mainpuri,UP_Mainpuri,UP
rewa,MP_Rewa,MP
jalandhar,PB_Jalandhar,PB
bengaluru rural,KA_Bengaluru Rural,KA
saharanpur,UP_Saharanpur,UP
bhopal,MP_Bhopal,MP
lower siang,AR_Lower Siang,AR
fatehgarh sahib,PB_Fatehgarh Sahib,PB
tirunelveli,TN_Tirunelveli,TN
udalguri,AS_Udalguri,AS
krishnagiri,TN_Krishnagiri,TN
reasi,JK_Reasi,JK
dindigul,TN_Dindigul,TN
west kameng,AR_West Kameng,AR
chitrakoot,UP_Chitrakoot,UP
kottayam,KL_Kottayam,KL
jehanabad,BR_Jehanabad,BR
dumka,JH_Dumka,JH
satara,MH_Satara,MH
raichur,KA_Raichur,KA
mahe,PY_Mahe,PY
yamunanagar,HR_Yamunanagar,HR
mansa,PB_Mansa,PB
siddipet,TG_Siddipet,TG
changlang,AR_Changlang,AR
east jaintia hills,ML_East Jaintia Hills,ML
chamoli,UT_Chamoli,UT
kurung kumey,AR_Kurung Kumey,AR
farrukhabad,UP_Farrukhabad,UP
mayurbhanj,OR_Mayurbhanj,OR
bastar,CT_Bastar,CT
khowai,TR_Khowai,TR
ganjam,OR_Ganjam,OR
chikkamagaluru,KA_Chikkamagaluru,KA
kolhapur,MH_Kolhapur,MH
uttara kannada,KA_Uttara Kannada,KA
tapi,GJ_Tapi,GJ
kanpur dehat,UP_Kanpur Dehat,UP
jhunjhunu,RJ_Jhunjhunu,RJ
moga,PB_Moga,PB
gir somnath,GJ_Gir Somnath,GJ
samastipur,BR_Samastipur,BR
gajapati,OR_Gajapati,OR
chandel,MN_Chandel,MN
hanumangarh,RJ_Hanumangarh,RJ
north tripura,TR_North Tripura,TR
bankura,WB_Bankura,WB
raisen,MP_Raisen,MP
bengaluru urban,KA_Bengaluru Urban,KA
hardoi,UP_Hardoi,UP
wanaparthy,TG_Wanaparthy,TG
