Districtid,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,month13,month14,month15,month16,month17
PB_Shahid Bhagat Singh Nagar,0,0,0,0,0,0,23,81,-1,2,1,1,12,2,7,20,42
PB_Sri Muktsar Sahib,0,0,0,0,0,0,7,58,0,1,0,4,2,7,47,7,11
PB_Tarn Taran,0,0,0,0,0,0,14,143,-3,-1,4,2,5,16,7,19,10
RJ_Ajmer,0,0,0,0,0,0,165,46,43,31,51,27,52,30,44,79,159
RJ_Alwar,0,0,0,0,0,0,11,9,13,12,8,29,168,90,123,193,459
RJ_Banswara,0,0,0,0,0,0,66,0,2,17,0,0,5,2,2,5,3
RJ_Baran,0,0,0,0,0,0,1,0,3,1,10,43,4,0,3,2,9
RJ_Barmer,0,0,0,0,0,0,2,2,14,58,23,7,16,61,94,158,238
RJ_Bharatpur,0,0,0,0,0,0,112,4,7,12,100,374,328,379,206,213,219
RJ_Bhilwara,0,0,0,0,0,0,37,6,7,61,29,26,21,35,23,20,24
RJ_Bikaner,0,0,0,0,0,0,37,1,4,33,29,6,11,68,56,190,427
RJ_Bundi,0,0,0,0,0,0,0,0,0,0,2,2,5,1,4,1,3
RJ_Chittorgarh,0,0,0,0,0,0,27,109,16,18,6,15,8,5,4,3,4
RJ_Churu,0,0,0,0,0,0,14,3,16,35,36,48,35,57,57,30,46
RJ_Dausa,0,0,0,0,0,0,21,1,10,9,9,14,19,21,27,39,40
RJ_Dungarpur,0,0,0,0,0,0,6,3,33,272,42,18,14,20,21,32,27
RJ_Ganganagar,0,0,0,0,0,0,0,0,0,1,5,1,13,20,13,7,11
RJ_Hanumangarh,0,0,0,0,0,0,11,0,3,0,16,0,4,14,12,21,48
RJ_Jaipur,0,0,0,0,0,0,961,235,320,221,224,227,317,292,426,256,379
RJ_Jaisalmer,0,0,0,0,0,0,35,0,12,17,10,0,7,16,10,8,3
RJ_Jalore,0,0,0,0,0,0,0,7,62,80,13,6,25,30,51,77,203
RJ_Jhalawar,0,0,0,0,0,0,40,7,1,11,190,77,16,23,10,0,5
RJ_Jhunjhunu,0,0,0,0,0,0,42,0,12,31,39,34,56,72,47,53,64
RJ_Jodhpur,0,0,0,0,0,0,605,257,131,196,287,286,389,226,268,303,715
RJ_Karauli,0,0,0,0,0,0,3,2,4,1,6,13,10,21,31,17,23
RJ_Kota,0,0,0,0,0,0,207,26,86,54,79,54,38,11,75,98,49
RJ_Nagaur,0,0,0,0,0,0,118,1,42,135,150,48,44,56,24,78,215
RJ_Pali,0,0,0,0,0,0,13,47,54,166,175,132,162,166,159,94,268
RJ_Pratapgarh,0,0,0,0,0,0,2,2,0,8,1,1,0,0,1,59,71,0,0,0,0,0,0,-136,2,9,39,19,9,7,13,4,9,12
RJ_Rajsamand,0,0,0,0,0,0,2,13,18,55,47,26,5,17,46,47,93
RJ_Sawai Madhopur,0,0,0,0,0,0,8,2,6,1,3,19,16,20,19,15,20
RJ_Sikar,0,0,0,0,0,0,6,3,18,52,123,71,91,64,81,104,80
RJ_Sirohi,0,0,0,0,0,0,0,3,29,68,57,38,84,65,101,109,100
RJ_Tonk,0,0,0,0,0,0,134,2,11,12,4,6,11,16,4,4,10
RJ_Udaipur,0,0,0,0,0,0,9,94,260,96,82,45,14,41,40,91,94
TN_Ariyalur,0,0,0,0,0,0,25,236,87,7,10,14,13,22,44,8,43
TN_Chennai,0,0,0,0,0,0,1260,2065,2954,3716,4000,6998,9451,9197,12058,14839,9620
TN_Coimbatore,0,0,0,0,0,0,142,4,-1,0,0,13,15,82,173,284,430
TN_Cuddalore,0,0,0,0,0,0,30,363,23,7,31,21,58,130,277,278,292
TN_Dharmapuri,0,0,0,0,0,0,1,3,1,0,3,3,15,4,31,51,126
TN_Dindigul,0,0,0,0,0,0,81,27,13,12,5,18,51,71,91,264,123
TN_Erode,0,0,0,0,0,0,70,0,0,1,1,1,-1,6,34,110,147
TN_Kallakurichi,0,0,0,0,0,0,9,46,23,43,128,15,66,36,186,571,600
TN_Kanyakumari,0,0,0,0,0,0,16,9,12,12,19,19,33,42,142,248,651
TN_Karur,0,0,0,0,0,0,42,4,10,24,1,6,6,17,26,20,40
TN_Krishnagiri,0,0,0,0,0,0,0,10,10,2,5,10,1,25,52,60,66
TN_Madurai,0,0,0,0,0,0,88,26,33,79,42,30,111,227,1067,2073,1981
TN_Nagapattinam,0,0,0,0,0,0,45,0,4,2,8,17,30,89,54,30,74
TN_Namakkal,0,0,0,0,0,0,61,16,0,0,0,8,7,0,3,10,57
TN_Nilgiris,0,0,0,0,0,0,9,6,-1,0,0,0,0,16,36,57,56
TN_Perambalur,0,0,0,0,0,0,11,93,35,0,1,3,2,5,11,6,7
TN_Pudukkottai,0,0,0,0,0,0,1,4,2,13,2,9,20,18,62,163,276
TN_Ramanathapuram,0,0,0,0,0,0,20,6,5,24,23,19,38,134,379,644,482
TN_Salem,0,0,0,0,0,0,33,2,0,17,94,67,9,101,281,593,570
TN_Sivaganga,0,0,0,0,0,0,12,0,10,6,4,3,40,20,62,268,361
TN_Thanjavur,0,0,0,0,0,0,56,5,11,8,8,18,44,73,173,85,171
TN_Theni,0,0,0,0,0,0,44,13,22,23,7,12,17,55,320,472,629
TN_Thiruvallur,0,0,0,0,0,0,70,229,227,171,203,374,523,617,1006,1176,1825
TN_Thiruvarur,0,0,0,0,0,0,30,3,-1,3,11,12,62,68,153,183,170
TN_Tirunelveli,0,0,0,0,0,0,65,18,97,103,74,27,59,169,111,259,647
TN_Tiruppur,0,0,0,0,0,0,114,0,0,0,0,0,1,4,28,51,96
TN_Vellore,0,0,0,0,0,0,23,7,5,4,3,13,87,247,622,741,870
TN_Viluppuram,0,0,0,0,0,0,57,245,6,19,39,3,52,130,214,312,378
TN_Virudhunagar,0,0,0,0,0,0,32,6,9,50,24,23,19,27,123,469,1051
TR_Dhalai,0,0,0,0,0,0,2,130,28,4,7,28,2,2,10,31,21
TR_Gomati,0,0,0,0,0,0,2,0,0,4,25,57,14,15,20,42,89
TR_Khowai,0,0,0,0,0,0,0,0,1,1,12,12,4,5,26,19,123
TR_North Tripura,0,0,0,0,0,0,1,1,2,1,3,6,0,3,8,26,22
TR_South Tripura,0,0,0,0,0,0,0,0,0,2,3,63,9,22,31,9,13
TR_Unokoti,0,0,0,0,0,0,0,0,0,1,1,48,9,6,3,5,9
TR_West Tripura,0,0,0,0,0,0,0,0,0,6,11,44,28,38,26,51,86
UP_Agra,0,0,0,0,0,0,536,207,63,39,30,64,84,113,49,82,113
UP_Aligarh,0,0,0,0,0,0,41,14,11,55,24,40,70,100,99,122,150
UP_Ambedkar Nagar,0,0,0,0,0,0,0,0,6,29,26,23,17,10,7,15,7
UP_Amethi,0,0,0,0,0,0,0,5,11,24,92,64,20,47,16,12,24
UP_Auraiya,0,0,0,0,0,0,10,3,5,4,7,10,16,30,17,4,12
UP_Azamgarh,0,0,0,0,0,0,8,1,3,19,58,62,16,11,35,59,80
UP_Baghpat,0,0,0,0,0,0,17,4,4,2,13,36,65,51,55,68,121
UP_Bahraich,0,0,0,0,0,0,14,8,15,31,17,15,11,6,6,6,37
UP_Ballia,0,0,0,0,0,0,0,0,10,5,28,11,9,9,31,63,209
UP_Banda,0,0,0,0,0,0,7,11,3,2,0,4,6,6,4,7,21
UP_Barabanki,0,0,0,0,0,0,1,1,27,104,19,18,44,42,57,97,191
UP_Bareilly,0,0,0,0,0,0,10,1,3,25,13,15,50,40,63,104,226
UP_Basti,0,0,0,0,0,0,32,5,11,71,48,61,31,49,40,27,40
