district,district_id,state_id
bankura,WB_Bankura,WB
kozhikode,KL_Kozhikode,KL
burhanpur,MP_Burhanpur,MP
seoni,MP_Seoni,MP
gir somnath,GJ_Gir Somnath,GJ
patan,GJ_Patan,GJ
kannauj,UP_Kannauj,UP
koriya,CT_Koriya,CT
vidisha,MP_Vidisha,MP
sahibganj,JH_Sahibganj,JH
rohtas,BR_Rohtas,BR
ujjain,MP_Ujjain,MP
dharmapuri,TN_Dharmapuri,TN
sabarkantha,GJ_Sabarkantha,GJ
kargil,LA_Kargil,LA
serchhip,MZ_Serchhip,MZ
kurnool,AP_Kurnool,AP
krishnagiri,TN_Krishnagiri,TN
lower subansiri,AR_Lower Subansiri,AR
barpeta,AS_Barpeta,AS
medak,TG_Medak,TG
mandi,HP_Mandi,HP
bhind,MP_Bhind,MP
faridkot,PB_Faridkot,PB
khunti,JH_Khunti,JH
west siang,AR_West Siang,AR
bageshwar,UT_Bageshwar,UT
guna,MP_Guna,MP
kolasib,MZ_Kolasib,MZ
kottayam,KL_Kottayam,KL
viluppuram,TN_Viluppuram,TN
pathankot,PB_Pathankot,PB
bharuch,GJ_Bharuch,GJ
s.p.s. nellore,AP_S.P.S. Nellore,AP
chitrakoot,UP_Chitrakoot,UP
chennai,TN_Chennai,TN
banaskantha,GJ_Banaskantha,GJ
namakkal,TN_Namakkal,TN
salem,TN_Salem,TN
baloda bazar,CT_Baloda Bazar,CT
kupwara,JK_Kupwara,JK
sundargarh,OR_Sundargarh,OR
alipurduar,WB_Alipurduar,WB
kra daadi,AR_Kra Daadi,AR
umaria,MP_Umaria,MP
bengaluru urban,KA_Bengaluru Urban,KA
jashpur,CT_Jashpur,CT
sawai madhopur,RJ_Sawai Madhopur,RJ
navsari,GJ_Navsari,GJ
jiribam,MN_Jiribam,MN
karaikal,PY_Karaikal,PY
katihar,BR_Katihar,BR
noney,MN_Noney,MN
malkangiri,OR_Malkangiri,OR
jamui,BR_Jamui,BR
rupnagar,PB_Rupnagar,PB
pulwama,JK_Pulwama,JK
farrukhabad,UP_Farrukhabad,UP
mandsaur,MP_Mandsaur,MP
purba medinipur,WB_Purba Medinipur,WB
perambalur,TN_Perambalur,TN
patiala,PB_Patiala,PB
khandwa,MP_Khandwa,MP
ramban,JK_Ramban,JK
gumla,JH_Gumla,JH
jhunjhunu,RJ_Jhunjhunu,RJ
madhubani,BR_Madhubani,BR
ghazipur,UP_Ghazipur,UP
nalbari,AS_Nalbari,AS
bhopal,MP_Bhopal,MP
lucknow,UP_Lucknow,UP
tinsukia,AS_Tinsukia,AS
longding,AR_Longding,AR
sonitpur,AS_Sonitpur,AS
etah,UP_Etah,UP
charaideo,AS_Charaideo,AS
gomati,TR_Gomati,TR
mungeli,CT_Mungeli,CT
bastar,CT_Bastar,CT
phek,NL_Phek,NL
south sikkim,SK_South Sikkim,SK
tikamgarh,MP_Tikamgarh,MP
bilaspur,CT_Bilaspur,CT
karur,TN_Karur,TN
dimapur,NL_Dimapur,NL
prayagraj,UP_Prayagraj,UP
jharsuguda,OR_Jharsuguda,OR
kanpur nagar,UP_Kanpur Nagar,UP
dhubri,AS_Dhubri,AS
nalanda,BR_Nalanda,BR
siddharthnagar,UP_Siddharthnagar,UP
raigad,MH_Raigad,MH
sangrur,PB_Sangrur,PB
jaipur,RJ_Jaipur,RJ
surendranagar,GJ_Surendranagar,GJ
munger,BR_Munger,BR
jogulamba gadwal,TG_Jogulamba Gadwal,TG
kurukshetra,HR_Kurukshetra,HR
kathua,JK_Kathua,JK
banka,BR_Banka,BR
jhalawar,RJ_Jhalawar,RJ
pauri garhwal,UT_Pauri Garhwal,UT
akola,MH_Akola,MH
mayurbhanj,OR_Mayurbhanj,OR
meerut,UP_Meerut,UP
moga,PB_Moga,PB
muzaffarpur,BR_Muzaffarpur,BR
puducherry,PY_Puducherry,PY
kamareddy,TG_Kamareddy,TG
goalpara,AS_Goalpara,AS
bhagalpur,BR_Bhagalpur,BR
ghaziabad,UP_Ghaziabad,UP
virudhunagar,TN_Virudhunagar,TN
deoria,UP_Deoria,UP
west jaintia hills,ML_West Jaintia Hills,ML
mandla,MP_Mandla,MP
nagaon,AS_Nagaon,AS
udhampur,JK_Udhampur,JK
malda,WB_Malda,WB
satara,MH_Satara,MH
thoubal,MN_Thoubal,MN
gonda,UP_Gonda,UP
kalahandi,OR_Kalahandi,OR
nashik,MH_Nashik,MH
east champaran,BR_East Champaran,BR
howrah,WB_Howrah,WB
korba,CT_Korba,CT
